,subj,prop,obj,defdomain,defrange
0,Bangkok,location,Chao_Phraya_River,None,Place
1,Bangkok,southWestPlace,Chao_Phraya_River,Place,Place
2,Bangkok,district,Thailand,Place,PopulatedPlace
3,Bangkok,sovereignCountry,Thailand,Place,PopulatedPlace
4,Bangkok,created,Indoor_Stadium_Huamark,Person,Work
5,Bangkok,astrologicalSign,Indoor_Stadium_Huamark,Person,None
6,Bangkok,language,Phuan_language,None,Language
7,Bangkok,language,Squeak,None,Language
8,Bangkok,foundedBy,Rama_I,None,Agent
9,Bangkok,foundedBy,Activision,None,Agent
10,Bangkok,created,Rajadamnern_Stadium,Person,Work
11,Bangkok,billed,Rajadamnern_Stadium,Wrestler,PopulatedPlace
12,Bangkok,language,Thai_Sign_Language,None,Language
13,Bangkok,agglomeration,Thai_Sign_Language,PopulatedPlace,Agglomeration
14,Bangkok,country,Thailand,None,Country
15,Bangkok,country,New_wave_music ,None,Country
16,Bangkok,language,Blang_language,None,Language
17,Bangkok,language,Melody_Radio_(Bulgaria),None,Language
