,subj,prop,obj,defdomain,defrange
0,Paris,language,French_language,None,None
1,Paris,timeZone,French_language,Place,None
2,Paris,officialLanguage,French_language,PopulatedPlace,Language
3,Paris,regionalLanguage,French_language,PopulatedPlace,Language
4,Paris,location,Seine,None,Place
5,Paris,provinceLink,Seine,Place,Province
6,Paris,district,Grand_Paris,Place,PopulatedPlace
7,Paris,district,Labrador,Place,PopulatedPlace
8,Paris,location,Bassin_de_la_Villette,None,Place
9,Paris,location,Babington_Plot,None,Place
10,Paris,party,Socialist_Party_(France),None,None
11,Paris,position,Socialist_Party_(France),None,None
12,Paris,country,France,None,Country
13,Paris,inCemetery,France,GraveMonument,Cemetery
14,Paris,location,Canal_de_l'Ourcq,None,Place
15,Paris,location,Labour_United,None,Place
16,Paris,location,Canal_Saint-Martin,None,Place
17,Paris,location,1897,None,Place
