,subj,prop,obj,defdomain,defrange
0,AirAsia,parent,Tune_Group,None,None
1,AirAsia,service,Tune_Group,Company,None
2,AirAsia,foundationPlace,Kuala_Lumpur,Organisation,City
3,AirAsia,locationCity,Kuala_Lumpur,Organisation,City
4,AirAsia,country,Malaysia,None,Country
5,AirAsia,service,Malaysia,Company,None
6,AirAsia,subsidiary,Thai_AirAsia,Company,Company
7,AirAsia,service,Thai_AirAsia,Company,None
8,AirAsia,subsidiary,AirAsia_Japan,Company,Company
9,AirAsia,subsidiary,Eskew_Dumez_Ripple,Company,Company
10,AirAsia,subsidiary,AirAsia_X,Company,Company
11,AirAsia,subsidiary,Amphora,Company,Company
12,AirAsia,subsidiary,Thai_AirAsia_X,Company,Company
13,AirAsia,parentCompany,Thai_AirAsia_X,None,Company
14,AirAsia,subsidiary,Philippines_AirAsia,Company,Company
15,AirAsia,endingTheme,Philippines_AirAsia,TelevisionShow,Work
16,AirAsia,subsidiary,AirAsia_India,Company,Company
17,AirAsia,playRole,AirAsia_India,None,None
18,AirAsia,subsidiary,Indonesia_AirAsia,Company,Company
19,AirAsia,sportGoverningBody,Indonesia_AirAsia,None,None
20,AirAsia,subsidiary,AirAsia_Zest,Company,Company
21,AirAsia,subsidiary,Quebec_French,Company,Company
22,AirAsia,subsidiary,Indonesia_AirAsia_X,Company,Company
23,AirAsia,subsidiary,Merit_badge_(Boy_Scouts_of_America),Company,Company
