,subj,prop,obj,defdomain,defrange
0,FedEx,isPartOf,Dow_Jones_Transportation_Average,None,None
1,FedEx,service,Dow_Jones_Transportation_Average,Company,None
2,FedEx,locationCity,"Memphis,_Tennessee",Organisation,City
3,FedEx,foundationPlace,"Memphis,_Tennessee",Organisation,City
4,FedEx,country,United_States,None,Country
5,FedEx,service,United_States,Company,None
6,FedEx,subsidiary,FedEx_Ground,Company,Company
7,FedEx,industry,FedEx_Ground,Company,None
8,FedEx,subsidiary,FedEx_Office,Company,Company
9,FedEx,subsidiary,Bass_drum,Company,Company
10,FedEx,subsidiary,FedEx,Company,Company
11,FedEx,subsidiary,Anti-psychiatry,Company,Company
12,FedEx,isPartOf,S&P_100,None,None
13,FedEx,state,S&P_100,None,PopulatedPlace
14,FedEx,foundationPlace,"Little_Rock,_Arkansas",Organisation,City
15,FedEx,wineRegion,"Little_Rock,_Arkansas",Grape,WineRegion
16,FedEx,subsidiary,FedEx_Express,Company,Company
17,FedEx,lchfDraftTeam,FedEx_Express,IceHockeyPlayer,HockeyTeam
18,FedEx,foundedBy,Frederick_W._Smith,None,Agent
19,FedEx,foundedBy,Aloysius_Lilius,None,Agent
20,FedEx,locationCountry,United_States,None,Country
21,FedEx,locationCountry,Roya_(river),None,Country
