,subj,prop,obj,defdomain,defrange
0,Joe_Root,country,England,None,Country
1,Joe_Root,stateOfOrigin,England,Person,Country
2,Joe_Root,nationality,United_Kingdom,Person,Country
3,Joe_Root,stateOfOrigin,United_Kingdom,Person,Country
4,Joe_Root,team,England_cricket_team,None,SportsTeam
5,Joe_Root,currentTeamManager,England_cricket_team,Person,SportsTeam
6,Joe_Root,birthPlace,Sheffield,Animal,Place
7,Joe_Root,dam,Sheffield,Animal,Animal
8,Joe_Root,almaMater,Worksop_College,Person,EducationalInstitution
9,Joe_Root,nationality,Worksop_College,Person,Country
10,Joe_Root,almaMater,King_Ecgbert_School,Person,EducationalInstitution
11,Joe_Root,astrologicalSign,King_Ecgbert_School,Person,None
12,Joe_Root,team,Yorkshire_County_Cricket_Club,None,SportsTeam
13,Joe_Root,team,FC_Hakoah,None,SportsTeam
14,Joe_Root,team,Sydney_Thunder,None,SportsTeam
15,Joe_Root,team,Feyenoord,None,SportsTeam
16,Joe_Root,birthPlace,South_Yorkshire,Animal,Place
17,Joe_Root,birthPlace,433_Eros,Animal,Place
18,Joe_Root,birthPlace,Sheffield,None,None
19,Joe_Root,cultivatedVariety,Sheffield,Plant,CultivatedVariety
20,Joe_Root,birthPlace,England,Animal,Place
21,Joe_Root,americanComedyAward,England,Comedian,Award
22,Joe_Root,award,Wisden_Cricketers_of_the_Year,None,Award
23,Joe_Root,nationalTournament,Wisden_Cricketers_of_the_Year,Person,Tournament
24,Joe_Root,birthPlace,Dore,Animal,Place
25,Joe_Root,birthPlace,Duchy_of_Mecklenburg-Strelitz,Animal,Place
26,Joe_Root,birthPlace,South_Yorkshire,None,None
27,Joe_Root,birthPlace,Benjamin_Spock,None,None
28,Joe_Root,birthPlace,England,None,None
29,Joe_Root,birthPlace,Alex_Ferguson,None,None
