,subj,propLabel,objLabel,obj,prop,dom,range
0,Q3180174,place of birth,,Q21,P19,,
1,Q3180174,place of birth,,Q12956644,P19,,
2,Q3180174,place of birth,,Q23095,P19,,
3,Q3180174,country,,Q21,P17,[],[]
4,Q3180174,place of birth,,Q21,P19,,
5,Q3180174,place of birth,,Q12956644,P19,,
6,Q3180174,place of birth,,Q23095,P19,,
7,Q3180174,country of citizenship,,Q12130,P27,,
8,Q3180174,educated at,Worksop College,Q8035158,P69,['human'],['boarding school' 'independent school']
9,Q3180174,place of birth,,Q531663,P19,,
10,Q3180174,member of sports team,England cricket team,Q1321565,P54,['human'],['national cricket team']
11,Q3180174,member of sports team,Yorkshire County Cricket Club,Q3177444,P54,['human'],['cricket team']
12,Q3180174,member of sports team,Sydney Thunder,Q7660178,P54,['human'],['cricket team']
13,Q3180174,educated at,King Ecgbert School,Q6411452,P69,['human'],['academy school' 'secondary school']
14,Q3180174,award received,Wisden Cricketer of the Year,Q3569447,P166,['human'],['award']
