,subj,prop,obj,defdomain,defrange
0,Mark_Boucher,nationality,South_Africa,Person,Country
1,Mark_Boucher,stateOfOrigin,South_Africa,Person,Country
2,Mark_Boucher,team,Kolkata_Knight_Riders,None,SportsTeam
3,Mark_Boucher,currentTeamManager,Kolkata_Knight_Riders,Person,SportsTeam
4,Mark_Boucher,team,Royal_Challengers_Bangalore,None,SportsTeam
5,Mark_Boucher,board,Royal_Challengers_Bangalore,Person,None
6,Mark_Boucher,team,Warriors_(cricket_team),None,SportsTeam
7,Mark_Boucher,team,Newcastle_United_F.C.,None,SportsTeam
8,Mark_Boucher,award,Wisden_Cricketers_of_the_Year,None,Award
9,Mark_Boucher,award,Kalinga_Prize,None,Award
10,Mark_Boucher,birthPlace,"East_London,_Eastern_Cape",Animal,Place
11,Mark_Boucher,homeArena,"East_London,_Eastern_Cape",None,Arena
12,Mark_Boucher,team,South_Africa_national_cricket_team,None,SportsTeam
13,Mark_Boucher,fillingStation,South_Africa_national_cricket_team,RestArea,FillingStation
14,Mark_Boucher,almaMater,Selborne_College,Person,EducationalInstitution
15,Mark_Boucher,almaMater,BMX,Person,EducationalInstitution
16,Mark_Boucher,birthPlace,Eastern_Cape,Animal,Place
17,Mark_Boucher,birthPlace,August_Weismann,Animal,Place
