,subj,prop,obj,defdomain,defrange
0,Ricky_Ponting,nationality,Australia,Person,Country
1,Ricky_Ponting,stateOfOrigin,Australia,Person,Country
2,Ricky_Ponting,team,Australia_national_cricket_team,None,SportsTeam
3,Ricky_Ponting,teamManager,Australia_national_cricket_team,Person,SportsTeam
4,Ricky_Ponting,country,Australia,None,Country
5,Ricky_Ponting,stateOfOrigin,Australia,Person,Country
6,Ricky_Ponting,team,Mumbai_Indians,None,SportsTeam
7,Ricky_Ponting,approach,Mumbai_Indians,Person,None
8,Ricky_Ponting,birthPlace,"Launceston,_Tasmania",Animal,Place
9,Ricky_Ponting,grandsire,"Launceston,_Tasmania",Animal,Animal
10,Ricky_Ponting,team,Antigua_Hawksbills,None,SportsTeam
11,Ricky_Ponting,board,Antigua_Hawksbills,Person,None
12,Ricky_Ponting,team,Surrey_County_Cricket_Club,None,SportsTeam
13,Ricky_Ponting,team,Ferroviário_Esporte_Clube_(Serra_Talhada),None,SportsTeam
14,Ricky_Ponting,team,Tasmania_cricket_team,None,SportsTeam
15,Ricky_Ponting,team,Ferroviário_Esporte_Clube,None,SportsTeam
16,Ricky_Ponting,team,Kolkata_Knight_Riders,None,SportsTeam
17,Ricky_Ponting,team,Montreal_Canadiens,None,SportsTeam
18,Ricky_Ponting,nationality,Australia,Person,Country
19,Ricky_Ponting,otherFunction,Australia,Person,None
20,Ricky_Ponting,birthPlace,Australia,Animal,Place
21,Ricky_Ponting,almaMater,Australia,Person,EducationalInstitution
22,Ricky_Ponting,team,Somerset_County_Cricket_Club,None,SportsTeam
23,Ricky_Ponting,team,Autosport,None,SportsTeam
24,Ricky_Ponting,team,Hobart_Hurricanes,None,SportsTeam
25,Ricky_Ponting,team,12th_century,None,SportsTeam
26,Ricky_Ponting,award,Wisden_Cricketers_of_the_Year,None,Award
27,Ricky_Ponting,award,Ager_(river),None,Award
