,subj,prop,obj,defdomain,defrange
0,Barack_Obama,birthPlace,Hawaii,Person,Place
1,Barack_Obama,birthPlace,Honolulu,Person,Place
2,Barack_Obama,alumniOf,Occidental_College,Person,Organization
3,Barack_Obama,alumniOf,Harvard_Law_School,Person,Organization
4,Barack_Obama,homeLocation,White_House,Person,Place
5,Barack_Obama,spouse,Michelle_Obama,Person,Person
6,Barack_Obama,award,Nobel_Peace_Prize,,
7,Barack_Obama,memberOf,Democratic_Party_(United_States),,
8,Barack_Obama,parent,Barack_Obama_Sr.,,
9,Barack_Obama,parent,Ann_Dunham,,
10,Barack_Obama,relatedTo,Stanley_Armour_Dunham,,
11,Barack_Obama,relatedTo,Lolo_Soetoro,,
12,Barack_Obama,sibling,Maya_Soetoro-Ng,,
13,Barack_Obama,nationality,United_States,,
14,Barack_Obama,alumniOf,Columbia_University,Person,Organization
15,Barack_Obama,alumniOf,Harvard_Law_School,Person,Organization
16,Barack_Obama,alumniOf,Punahou_School,Person,Organization
17,Barack_Obama,alumniOf,State_Elementary_School_Menteng_01,Person,Organization
18,Barack_Obama,worksFor,University_of_Chicago,,
19,Barack_Obama,worksFor,Sidley_Austin,,
20,Barack_Obama,worksFor,Business_International_Corporation,,
21,Barack_Obama,worksFor,New_York_Public_Interest_Research_Group,,
22,Barack_Obama,worksFor,Gamaliel_Foundation,,
23,Barack_Obama,award,Order_of_the_British_Empire,,
24,Barack_Obama,award,Order_of_King_Abdulaziz,,
25,Barack_Obama,award,Time_Person_of_the_Year,,
26,Barack_Obama,award,Order_of_the_Rajamitrabhorn,,
27,Barack_Obama,award,National_Medal_of_Science,,
28,Barack_Obama,award,Grammy_Award_for_Best_Spoken_Word_Album,,
29,Barack_Obama,award,President's_Medal_(Israel),,
