,subj,prop,obj,defdomain,defrange
0,Boris_Johnson,parent,Stanley_Johnson_(writer),Person,Person
1,Boris_Johnson,detractor,Stanley_Johnson_(writer),Person,Person
2,Boris_Johnson,spouse,Carrie_Johnson,Person,Person
3,Boris_Johnson,collaboration,Carrie_Johnson,Person,Person
4,Boris_Johnson,sibling,Jo_Johnson,Person,Person
5,Boris_Johnson,detractor,Jo_Johnson,Person,Person
6,Boris_Johnson,relation,Rachel_Johnson,Person,Person
7,Boris_Johnson,father,Rachel_Johnson,Person,Person
8,Boris_Johnson,residence,10_Downing_Street,Person,Place
9,Boris_Johnson,birthPlace,10_Downing_Street,Person,Place
10,Boris_Johnson,birthPlace,New_York_City,Animal,Place
11,Boris_Johnson,grandsire,New_York_City,Animal,Animal
12,Boris_Johnson,mother,Charlotte_Johnson_Wahl,None,None
13,Boris_Johnson,announcedFrom,Charlotte_Johnson_Wahl,Person,Place
14,Boris_Johnson,spouse,Marina_Wheeler,Person,Person
15,Boris_Johnson,detractor,Marina_Wheeler,Person,Person
16,Boris_Johnson,relation,Jo_Johnson,Person,Person
17,Boris_Johnson,personFunction,Jo_Johnson,Person,PersonFunction
18,Boris_Johnson,nationality,United_Kingdom,Person,Country
19,Boris_Johnson,citizenship,United_Kingdom,Person,None
20,Boris_Johnson,relation,Helen_Tracy_Lowe-Porter,Person,Person
21,Boris_Johnson,relation,Andreas_Ekberg,Person,Person
22,Boris_Johnson,almaMater,"Balliol_College,_Oxford",Person,EducationalInstitution
23,Boris_Johnson,almaMater,Asia_University_(Taiwan),Person,EducationalInstitution
24,Boris_Johnson,award,Ig_Nobel_Prize,None,Award
25,Boris_Johnson,award,Academy_of_Country_Music_Awards,None,Award
30,Boris_Johnson,sibling,Rachel_Johnson,Person,Person
31,Boris_Johnson,placeOfWorship,Rachel_Johnson,ClericalAdministrativeRegion,Church
32,Boris_Johnson,relation,Elias_Avery_Lowe,Person,Person
33,Boris_Johnson,starring,Elias_Avery_Lowe,Work,Actor
34,Boris_Johnson,residence,Crouch_End,Person,Place
35,Boris_Johnson,otherAppearances,Crouch_End,OlympicResult,OlympicResult
36,Boris_Johnson,education,Eton_College,Person,None
37,Boris_Johnson,regentOf,Eton_College,Monarch,Monarch
38,Boris_Johnson,nationality,United_States,Person,Country
39,Boris_Johnson,portrayer,United_States,FictionalCharacter,None
40,Boris_Johnson,spouse,Marina_Wheeler,None,None
41,Boris_Johnson,movie,Marina_Wheeler,Person,Film
42,Boris_Johnson,party,Conservative_Party_(UK),None,None
43,Boris_Johnson,sourceConfluence,Conservative_Party_(UK),River,None
44,Boris_Johnson,relation,Julia_Johnson,Person,Person
45,Boris_Johnson,relation,Women's_Professional_Soccer,Person,Person
46,Boris_Johnson,spouse,Carrie_Johnson,None,None
47,Boris_Johnson,spouse,Nordic_Council,None,None
48,Boris_Johnson,residence,Islington,Person,Place
49,Boris_Johnson,residence,Tornquist_Sea,Person,Place
50,Boris_Johnson,residence,West_Kensington,Person,Place
51,Boris_Johnson,residence,Frano_Vićan,Person,Place
52,Boris_Johnson,relation,Ali_Kemal,Person,Person
53,Boris_Johnson,relation,Anthony_Spinelli__1,Person,Person
