,subj,prop,obj,defdomain,defrange
0,Boris_Johnson,alumniOf,"Balliol_College,_Oxford",Person,b190933018
1,Boris_Johnson,homeLocation,10_Downing_Street,Person,b190934477
2,Boris_Johnson,spouse,Carrie_Johnson,Person,Person
3,Boris_Johnson,spouse,Marina_Wheeler,Person,Person
4,Boris_Johnson,parent,Charlotte_Johnson_Wahl,,
5,Boris_Johnson,relatedTo,Rachel_Johnson,,
6,Boris_Johnson,relatedTo,Helen_Tracy_Lowe-Porter,,
7,Boris_Johnson,relatedTo,Ali_Kemal,,
8,Boris_Johnson,relatedTo,Elias_Avery_Lowe,,
9,Boris_Johnson,relatedTo,Julia_Johnson,,
10,Boris_Johnson,relatedTo,Jo_Johnson,,
11,Boris_Johnson,memberOf,Conservative_Party_(UK),,
12,Boris_Johnson,alumniOf,Eton_College,Person,b190933018
13,Boris_Johnson,spouse,Carrie_Johnson,Person,Person
14,Boris_Johnson,spouse,Marina_Wheeler,Person,Person
15,Boris_Johnson,nationality,United_States,Person,b190935107
16,Boris_Johnson,birthPlace,New_York_City,Person,b190933280
17,Boris_Johnson,homeLocation,West_Kensington,Person,b190934477
18,Boris_Johnson,homeLocation,Islington,Person,b190934477
19,Boris_Johnson,sibling,Jo_Johnson,,
20,Boris_Johnson,sibling,Rachel_Johnson,,
21,Boris_Johnson,parent,Stanley_Johnson_(writer),,
22,Boris_Johnson,nationality,United_Kingdom,Person,b190935107
23,Boris_Johnson,award,Ig_Nobel_Prize,,
24,Boris_Johnson,homeLocation,Crouch_End,Person,b190934477
