,subj,prop,obj,defdomain,defrange
0,Donald_Trump,occupation,Business_magnate,None,PersonFunction
1,Donald_Trump,otherOccupation,Business_magnate,Person,PersonFunction
2,Donald_Trump,nationality,United_States,Person,Country
3,Donald_Trump,stateOfOrigin,United_States,Person,Country
4,Donald_Trump,residence,Manhattan,Person,Place
5,Donald_Trump,restingPlace,Manhattan,Person,Place
6,Donald_Trump,parent,Fred_Trump,Person,Person
7,Donald_Trump,student,Fred_Trump,Person,Person
8,Donald_Trump,birthPlace,Queens,Person,Place
9,Donald_Trump,announcedFrom,Queens,Person,Place
10,Donald_Trump,sibling,Maryanne_Trump_Barry,Person,Person
11,Donald_Trump,detractor,Maryanne_Trump_Barry,Person,Person
12,Donald_Trump,relation,John_G._Trump,Person,Person
13,Donald_Trump,detractor,John_G._Trump,Person,Person
14,Donald_Trump,birthPlace,New_York_City,Person,Place
15,Donald_Trump,teamManager,New_York_City,Person,SportsTeam
16,Donald_Trump,party,Republican_Party_(United_States),None,PoliticalParty
17,Donald_Trump,nationalTournament,Republican_Party_(United_States),Person,Tournament
18,Donald_Trump,award,Golden_Raspberry_Award_for_Worst_Supporting_Actor,None,Award
19,Donald_Trump,residence,Golden_Raspberry_Award_for_Worst_Supporting_Actor,Person,Place
20,Donald_Trump,residence,White_House,Person,Place
21,Donald_Trump,patent,White_House,Person,None
22,Donald_Trump,almaMater,Fordham_University,Person,EducationalInstitution
23,Donald_Trump,almaMater,Asia_University_(Taiwan),Person,EducationalInstitution
24,Donald_Trump,almaMater,New_York_Military_Academy,Person,EducationalInstitution
25,Donald_Trump,almaMater,Auburn_Mountainview_High_School,Person,EducationalInstitution
26,Donald_Trump,award,Gaming_Hall_of_Fame,None,Award
27,Donald_Trump,award,Distinguished_Eagle_Scout_Award,None,Award
28,Donald_Trump,child,Ivanka_Trump,Person,Person
29,Donald_Trump,child,Giles_Scott,Person,Person
30,Donald_Trump,almaMater,Wharton_School_of_the_University_of_Pennsylvania,Person,EducationalInstitution
31,Donald_Trump,almaMater,Carmi-White_County_High_School,Person,EducationalInstitution
32,Donald_Trump,award,Ellis_Island_Medal_of_Honor,None,Award
33,Donald_Trump,award,Derek_Bok_Public_Service_Prizes,None,Award
34,Donald_Trump,spouse,Melania_Trump,Person,Person
35,Donald_Trump,aircraftHelicopterTransport,Melania_Trump,MilitaryUnit,MeanOfTransportation
36,Donald_Trump,award,Time_Person_of_the_Year,None,Award
37,Donald_Trump,restingPlace,Time_Person_of_the_Year,Person,Place
38,Donald_Trump,spouse,Ivana_Trump,Person,Person
39,Donald_Trump,principalArea,Ivana_Trump,PopulatedPlace,PopulatedPlace
40,Donald_Trump,almaMater,University_of_Pennsylvania,Person,EducationalInstitution
41,Donald_Trump,railwayRollingStock,University_of_Pennsylvania,RouteOfTransportation,None
42,Donald_Trump,award,Order_of_Abdulaziz_al_Saud,None,Award
43,Donald_Trump,lowestPlace,Order_of_Abdulaziz_al_Saud,Place,PopulatedPlace
44,Donald_Trump,child,Eric_Trump,Person,Person
45,Donald_Trump,governmentCountry,Eric_Trump,Island,Country
46,Donald_Trump,spouse,Marla_Maples,Person,Person
47,Donald_Trump,spouse,Hiw_Island,Person,Person
48,Donald_Trump,almaMater,The_Kew-Forest_School,Person,EducationalInstitution
49,Donald_Trump,almaMater,Bakewell_Island,Person,EducationalInstitution
50,Donald_Trump,relation,Jared_Kushner,Person,Person
51,Donald_Trump,relation,Bani_(letter),Person,Person
52,Donald_Trump,award,Jewish_National_Fund_Tree_of_Life_Award,None,Award
53,Donald_Trump,award,Medieval_Warm_Period,None,Award
54,Donald_Trump,residence,New_York_City,Person,Place
55,Donald_Trump,residence,Skeleton_at_the_2002_Winter_Olympics,Person,Place
56,Donald_Trump,award,WWE_Hall_of_Fame,None,Award
57,Donald_Trump,award,Hoysala_Empire,None,Award
