,subj,prop,obj,defdomain,defrange
0,Donald_Trump,birthPlace,Queens,,
1,Donald_Trump,birthPlace,New_York_City,,
2,Donald_Trump,alumniOf,Fordham_University,Person,Organization
3,Donald_Trump,alumniOf,University_of_Pennsylvania,Person,Organization
4,Donald_Trump,children,Eric_Trump,Person,Person
5,Donald_Trump,children,Ivanka_Trump,Person,Person
6,Donald_Trump,parent,Fred_Trump,,
7,Donald_Trump,homeLocation,Manhattan,Person,Place
8,Donald_Trump,homeLocation,New_York_City,Person,Place
9,Donald_Trump,spouse,Melania_Trump,Person,Person
10,Donald_Trump,spouse,Marla_Maples,Person,Person
11,Donald_Trump,spouse,Ivana_Trump,Person,Person
12,Donald_Trump,memberOf,Republican_Party_(United_States),,
13,Donald_Trump,homeLocation,White_House,Person,Place
14,Donald_Trump,nationality,United_States,,
15,Donald_Trump,alumniOf,Wharton_School_of_the_University_of_Pennsylvania,Person,Organization
16,Donald_Trump,alumniOf,New_York_Military_Academy,Person,Organization
17,Donald_Trump,alumniOf,The_Kew-Forest_School,Person,Organization
18,Donald_Trump,hasOccupation,Business_magnate,,
19,Donald_Trump,award,WWE_Hall_of_Fame,,
20,Donald_Trump,award,Order_of_Abdulaziz_Al_Saud,,
21,Donald_Trump,award,Time_Person_of_the_Year,,
22,Donald_Trump,award,Golden_Raspberry_Award_for_Worst_Supporting_Actor,,
23,Donald_Trump,award,Ellis_Island_Medal_of_Honor,,
24,Donald_Trump,award,Gaming_Hall_of_Fame,,
25,Donald_Trump,award,Jewish_National_Fund_Tree_of_Life_Award,,
30,Donald_Trump,sibling,Maryanne_Trump_Barry,,
32,Donald_Trump,relatedTo,John_G._Trump,,
33,Donald_Trump,relatedTo,Jared_Kushner,,
