,subj,prop,obj,defdomain,defrange
0,Joe_Biden,team,Delaware_Fightin'_Blue_Hens_football,None,SportsTeam
1,Joe_Biden,currentTeamManager,Delaware_Fightin'_Blue_Hens_football,Person,SportsTeam
2,Joe_Biden,spouse,Jill_Biden,Person,Person
3,Joe_Biden,student,Jill_Biden,Person,Person
4,Joe_Biden,residence,"Wilmington,_Delaware",Person,Place
5,Joe_Biden,livingPlace,"Wilmington,_Delaware",Person,Place
6,Joe_Biden,nationality,United_States,Person,Country
7,Joe_Biden,stateOfOrigin,United_States,Person,Country
8,Joe_Biden,employer,University_of_Pennsylvania,Person,Organisation
9,Joe_Biden,federation,University_of_Pennsylvania,Person,Organisation
10,Joe_Biden,party,Democratic_Party_(United_States),None,PoliticalParty
11,Joe_Biden,restingPlace,Democratic_Party_(United_States),Person,Place
12,Joe_Biden,award,Order_of_Liberty_(Ukraine),None,Award
13,Joe_Biden,sibling,Order_of_Liberty_(Ukraine),Person,Person
14,Joe_Biden,award,Ellis_Island_Medal_of_Honor,None,Award
15,Joe_Biden,education,Ellis_Island_Medal_of_Honor,Person,None
16,Joe_Biden,employer,Widener_University,Person,Organisation
17,Joe_Biden,colleague,Widener_University,Person,Person
18,Joe_Biden,almaMater,Archmere_Academy,Person,EducationalInstitution
19,Joe_Biden,almaMater,Auburn_Mountainview_High_School,Person,EducationalInstitution
20,Joe_Biden,award,Nishan-e-Pakistan,None,Award
21,Joe_Biden,award,Turing_Award,None,Award
22,Joe_Biden,award,Presidential_Medal_of_Freedom,None,Award
23,Joe_Biden,award,Bronzen_Adhemar,None,Award
24,Joe_Biden,residence,White_House,Person,Place
25,Joe_Biden,residence,2_Pallas,Person,Place
26,Joe_Biden,award,Laetare_Medal,None,Award
27,Joe_Biden,award,Small_Self_Administered_Scheme,None,Award
28,Joe_Biden,almaMater,Syracuse_University_College_of_Law,Person,EducationalInstitution
29,Joe_Biden,politicalPartyInLegislature,Syracuse_University_College_of_Law,Legislature,PoliticalParty
30,Joe_Biden,party,Independent_politician,None,PoliticalParty
31,Joe_Biden,playRole,Independent_politician,None,None
32,Joe_Biden,party,Democratic_Party_(United_States),None,None
33,Joe_Biden,breeder,Democratic_Party_(United_States),Animal,Person
34,Joe_Biden,child,Beau_Biden,Person,Person
35,Joe_Biden,raceTrack,Beau_Biden,SportsEvent,RaceTrack
36,Joe_Biden,child,Hunter_Biden,Person,Person
37,Joe_Biden,managementMountain,Hunter_Biden,None,Mountain
38,Joe_Biden,spouse,Jill_Biden,None,None
39,Joe_Biden,spouse,51-FORTH,None,None
40,Joe_Biden,almaMater,Syracuse_University,Person,EducationalInstitution
41,Joe_Biden,almaMater,Wandel_Sea,Person,EducationalInstitution
42,Joe_Biden,almaMater,University_of_Delaware,Person,EducationalInstitution
43,Joe_Biden,almaMater,Emirates_Club,Person,EducationalInstitution
44,Joe_Biden,award,Time_100,None,Award
45,Joe_Biden,award,Arthur_E._Bestor__1,None,Award
46,Joe_Biden,birthPlace,"Scranton,_Pennsylvania",Animal,Place
47,Joe_Biden,birthPlace,Western_Bulldogs,Animal,Place
