,subj,prop,obj,defdomain,defrange
0,Joe_Biden,birthPlace,"Scranton,_Pennsylvania",Person,Place
1,Joe_Biden,alumniOf,University_of_Delaware,Person,Organization
2,Joe_Biden,alumniOf,Syracuse_University_College_of_Law,Person,Organization
3,Joe_Biden,children,Hunter_Biden,Person,Person
4,Joe_Biden,children,Beau_Biden,Person,Person
5,Joe_Biden,spouse,Jill_Biden,Person,Person
6,Joe_Biden,memberOf,Democratic_Party_(United_States),,
7,Joe_Biden,memberOf,Independent_politician,,
8,Joe_Biden,memberOf,Democratic_Party_(United_States),,
9,Joe_Biden,spouse,Jill_Biden,Person,Person
10,Joe_Biden,homeLocation,"Wilmington,_Delaware",Person,Place
11,Joe_Biden,nationality,United_States,,
12,Joe_Biden,memberOf,Delaware_Fightin'_Blue_Hens_football,,
13,Joe_Biden,alumniOf,Syracuse_University,Person,Organization
14,Joe_Biden,alumniOf,Archmere_Academy,Person,Organization
15,Joe_Biden,worksFor,University_of_Pennsylvania,,
16,Joe_Biden,worksFor,Widener_University,,
17,Joe_Biden,award,Presidential_Medal_of_Freedom,,
18,Joe_Biden,award,Time_100,,
19,Joe_Biden,award,Laetare_Medal,,
20,Joe_Biden,award,Nishan-e-Pakistan,,
21,Joe_Biden,award,Order_of_Liberty_(Ukraine),,
22,Joe_Biden,award,Ellis_Island_Medal_of_Honor,,
23,Joe_Biden,homeLocation,White_House,Person,Place
