,subj,prop,obj,defdomain,defrange
0,Vladimir_Putin,occupation,Coach_(sport),None,PersonFunction
1,Vladimir_Putin,otherOccupation,Coach_(sport),Person,PersonFunction
2,Vladimir_Putin,nationality,Russia,Person,Country
3,Vladimir_Putin,stateOfOrigin,Russia,Person,Country
4,Vladimir_Putin,employer,KGB,Person,Organisation
5,Vladimir_Putin,federation,KGB,Person,Organisation
6,Vladimir_Putin,relation,Igor_Putin,Person,Person
7,Vladimir_Putin,spouse,Igor_Putin,Person,Person
8,Vladimir_Putin,spouse,Lyudmila_Putina,Person,Person
9,Vladimir_Putin,relative,Lyudmila_Putina,Person,Person
10,Vladimir_Putin,child,Katerina_Tikhonova,Person,Person
11,Vladimir_Putin,father,Katerina_Tikhonova,Person,Person
12,Vladimir_Putin,residence,Moscow,Person,Place
13,Vladimir_Putin,restingPlace,Moscow,Person,Place
14,Vladimir_Putin,occupation,Covert_agent,None,PersonFunction
15,Vladimir_Putin,otherOccupation,Covert_agent,Person,PersonFunction
16,Vladimir_Putin,relation,Kirill_Shamalov,Person,Person
17,Vladimir_Putin,student,Kirill_Shamalov,Person,Person
18,Vladimir_Putin,residence,Novo-Ogaryovo,Person,Place
19,Vladimir_Putin,deathPlace,Novo-Ogaryovo,Person,Place
20,Vladimir_Putin,almaMater,Saint_Petersburg_State_University_Faculty_of_Law,Person,EducationalInstitution
21,Vladimir_Putin,dubber,Saint_Petersburg_State_University_Faculty_of_Law,Person,Person
22,Vladimir_Putin,relation,Roman_Putin,Person,Person
23,Vladimir_Putin,project,Roman_Putin,Person,Project
24,Vladimir_Putin,almaMater,Saint_Petersburg_State_University,None,None
25,Vladimir_Putin,relatedFunctions,Saint_Petersburg_State_University,Person,List
26,Vladimir_Putin,award,Olympic_Order,None,Award
27,Vladimir_Putin,philosophicalSchool,Olympic_Order,Person,None
28,Vladimir_Putin,party,Independent_politician,None,PoliticalParty
29,Vladimir_Putin,bodyDiscovered,Independent_politician,Person,Place
30,Vladimir_Putin,party,Bolsheviks,None,PoliticalParty
31,Vladimir_Putin,activity,Bolsheviks,Person,None
32,Vladimir_Putin,award,Order_of_King_Abdulaziz,None,Award
33,Vladimir_Putin,federation,Order_of_King_Abdulaziz,Person,Organisation
34,Vladimir_Putin,occupation,Stunt_performer,None,PersonFunction
35,Vladimir_Putin,profession,Stunt_performer,Person,None
36,Vladimir_Putin,residence,Moscow,Person,Place
37,Vladimir_Putin,relative,Moscow,Person,Person
38,Vladimir_Putin,award,Ig_Nobel_Prize,None,Award
39,Vladimir_Putin,award,IEEE_Charles_Proteus_Steinmetz_Award,None,Award
40,Vladimir_Putin,award,Order_of_Honour_(Russia),None,Award
41,Vladimir_Putin,award,Academy_of_Country_Music_Awards,None,Award
42,Vladimir_Putin,award,Order_of_the_Liberator,None,Award
43,Vladimir_Putin,award,Silver_Star,None,Award
44,Vladimir_Putin,almaMater,Saint_Petersburg_State_University,Person,EducationalInstitution
45,Vladimir_Putin,almaMater,Mary_G._Montgomery_High_School,Person,EducationalInstitution
46,Vladimir_Putin,birthPlace,Soviet_Union,Animal,Place
47,Vladimir_Putin,birthPlace,Calabria,Animal,Place
48,Vladimir_Putin,award,Order_of_Zayed,None,Award
49,Vladimir_Putin,award,Kalinga_Prize,None,Award
