,d_subj,d_prop,d_obj,d_dom,d_range,y_subj,y_prop,y_obj,w_subj,w_prop,w_obj,w_obj_id,w_prop_id
0,Vladimir_Putin,birthPlace,Russian_Soviet_Federative_Socialist_Republic,Animal,Place,Vladimir_Putin,birthPlace,Russian_Soviet_Federative_Socialist_Republic,Q7747,place of birth,Russia,Q159,P19
1,Vladimir_Putin,birthPlace,Saint_Petersburg,Animal,Place,Vladimir_Putin,birthPlace,Saint_Petersburg,Q7747,place of birth,Saint Petersburg,Q656,P19
2,Vladimir_Putin,birthPlace,Soviet_Union,Animal,Place,Vladimir_Putin,birthPlace,Soviet_Union,Q7747,place of birth,,Q15180,P19
3,Vladimir_Putin,birthPlace,Saint_Petersburg,None,None,Vladimir_Putin,birthPlace,Saint_Petersburg,Q7747,place of birth,Saint Petersburg,Q656,P19
4,Vladimir_Putin,birthPlace,Russian_Soviet_Federative_Socialist_Republic,None,None,Vladimir_Putin,birthPlace,Russian_Soviet_Federative_Socialist_Republic,Q7747,place of birth,Russia,Q159,P19
5,Vladimir_Putin,birthPlace,Soviet_Union,None,None,Vladimir_Putin,birthPlace,Soviet_Union,Q7747,place of birth,,Q15180,P19
6,Vladimir_Putin,almaMater,Saint_Petersburg_State_University,Person,EducationalInstitution,Vladimir_Putin,alumniOf,Saint_Petersburg_State_University,Q7747,educated at,Saint Petersburg State University,Q27621,P69
7,Vladimir_Putin,child,Katerina_Tikhonova,Person,Person,Vladimir_Putin,children,Katerina_Tikhonova,Q7747,child,Katerina Tikhonova,Q19364345,P40
8,Vladimir_Putin,residence,Moscow,Person,Place,Vladimir_Putin,homeLocation,Moscow,Q7747,official residence,Moscow,Q649,P263
9,Vladimir_Putin,residence,Novo-Ogaryovo,Person,Place,Vladimir_Putin,homeLocation,Novo-Ogaryovo,Q7747,official residence,Novo-Ogaryovo,Q1510282,P263
10,Vladimir_Putin,spouse,Lyudmila_Putina,Person,Person,Vladimir_Putin,spouse,Lyudmila_Putina,Q7747,spouse,Lyudmila Putina,Q233282,P26
11,Vladimir_Putin,award,Order_of_Honour_(Russia),None,Award,Vladimir_Putin,award,Order_of_Honour_(Russia),Q7747,award received,Order of Honour,Q2268261,P166
12,Vladimir_Putin,party,All-Russia_People's_Front,None,PoliticalParty,Vladimir_Putin,memberOf,All-Russia_People's_Front,Q7747,member of political party,All-Russia People's Front,Q730786,P102
13,Vladimir_Putin,party,United_Russia,None,PoliticalParty,Vladimir_Putin,memberOf,United_Russia,Q7747,member of political party,United Russia,Q151469,P102
14,Vladimir_Putin,party,Unity_(Russian_political_party),None,PoliticalParty,Vladimir_Putin,memberOf,Unity_(Russian_political_party),Q7747,member of political party,,Q1957669,P102
15,Vladimir_Putin,party,Communist_Party_of_the_Soviet_Union,None,PoliticalParty,Vladimir_Putin,memberOf,Communist_Party_of_the_Soviet_Union,Q7747,member of political party,,Q3701765,P102
16,Vladimir_Putin,party,Independent_politician,None,PoliticalParty,Vladimir_Putin,memberOf,Independent_politician,Q7747,member of political party,,Q327591,P102
17,Vladimir_Putin,almaMater,Saint_Petersburg_State_University,None,None,Vladimir_Putin,alumniOf,Saint_Petersburg_State_University,Q7747,educated at,Saint Petersburg State University,Q27621,P69
18,Vladimir_Putin,party,Independent_politician,None,None,Vladimir_Putin,memberOf,Independent_politician,Q7747,political party,,Q327591,P102
19,Vladimir_Putin,spouse,Lyudmila_Putina,None,None,Vladimir_Putin,spouse,Lyudmila_Putina,Q7747,spouse,Lyudmila Putina,Q233282,P26
20,Vladimir_Putin,nationality,Russia,Person,Country,Vladimir_Putin,nationality,Russia,Q7747,country of citizenship,Russia,Q159,P27
