,subj,prop,obj,defdomain,defrange
0,Vladimir_Putin,birthPlace,Russian_Soviet_Federative_Socialist_Republic,,
1,Vladimir_Putin,birthPlace,Saint_Petersburg,,
2,Vladimir_Putin,birthPlace,Soviet_Union,,
3,Vladimir_Putin,birthPlace,Saint_Petersburg,,
4,Vladimir_Putin,birthPlace,Russian_Soviet_Federative_Socialist_Republic,,
5,Vladimir_Putin,birthPlace,Soviet_Union,,
6,Vladimir_Putin,alumniOf,Saint_Petersburg_State_University,Person,b190933018
7,Vladimir_Putin,children,Katerina_Tikhonova,Person,b190933457
8,Vladimir_Putin,homeLocation,Moscow,Person,b190934477
9,Vladimir_Putin,homeLocation,Novo-Ogaryovo,Person,b190934477
10,Vladimir_Putin,spouse,Lyudmila_Putina,Person,Person
11,Vladimir_Putin,award,Order_of_Honour_(Russia),,
12,Vladimir_Putin,memberOf,All-Russia_People's_Front,,
13,Vladimir_Putin,memberOf,United_Russia,,
14,Vladimir_Putin,memberOf,Unity_(Russian_political_party),,
15,Vladimir_Putin,memberOf,Communist_Party_of_the_Soviet_Union,,
16,Vladimir_Putin,memberOf,Independent_politician,,
17,Vladimir_Putin,alumniOf,Saint_Petersburg_State_University,Person,b190933018
18,Vladimir_Putin,memberOf,Independent_politician,,
19,Vladimir_Putin,spouse,Lyudmila_Putina,Person,Person
20,Vladimir_Putin,nationality,Russia,Person,Country
21,Vladimir_Putin,alumniOf,FSB_Academy,Person,b190933018
22,Vladimir_Putin,alumniOf,Saint_Petersburg_State_University_Faculty_of_Law,Person,b190933018
23,Vladimir_Putin,memberOf,Bolsheviks,,
24,Vladimir_Putin,hasOccupation,Coach_(sport),Person,b190934409
25,Vladimir_Putin,hasOccupation,Covert_agent,Person,b190934409
26,Vladimir_Putin,hasOccupation,Stunt_performer,Person,b190934409
27,Vladimir_Putin,worksFor,KGB,,
28,Vladimir_Putin,worksFor,Presidential_Administration_of_Russia,,
29,Vladimir_Putin,award,Order_of_King_Abdulaziz,,
30,Vladimir_Putin,award,Ig_Nobel_Prize,,
31,Vladimir_Putin,award,Time_Person_of_the_Year,,
32,Vladimir_Putin,award,Medal_%22For_Impeccable_Service%22,,
33,Vladimir_Putin,award,Distinguished_Service_Medal_of_the_National_People's_Army,,
34,Vladimir_Putin,award,Olympic_Order,,
35,Vladimir_Putin,award,Order_of_the_Badge_of_Honour,,
36,Vladimir_Putin,award,Confucius_Peace_Prize,,
37,Vladimir_Putin,award,Order_of_Saint-Charles,,
38,Vladimir_Putin,award,Order_of_Zayed,,
39,Vladimir_Putin,award,Order_of_Ho_Chi_Minh,,
40,Vladimir_Putin,award,Order_of_the_Liberator,,
41,Vladimir_Putin,relatedTo,Igor_Putin,,
42,Vladimir_Putin,relatedTo,Roman_Putin,,
43,Vladimir_Putin,relatedTo,Kirill_Shamalov,,
44,Vladimir_Putin,homeLocation,Moscow_Kremlin,Person,b190934477
45,Vladimir_Putin,homeLocation,Kremlin_Senate,Person,b190934477
46,Vladimir_Putin,homeLocation,Moscow,Person,b190934477
47,Vladimir_Putin,homeLocation,Saint_Petersburg,Person,b190934477
48,Vladimir_Putin,homeLocation,"Dresden,_Ohio",Person,b190934477
