,subj,prop,obj,defdomain,defrange
0,Harvard_University,city,"Cambridge,_Massachusetts",None,None
1,Harvard_University,educationSystem,"Cambridge,_Massachusetts",EducationalInstitution,None
2,Harvard_University,subsidiary,Villa_I_Tatti,Company,Company
3,Harvard_University,industry,Villa_I_Tatti,Company,None
4,Harvard_University,subsidiary,Center_for_Hellenic_Studies,Company,Company
5,Harvard_University,industry,Center_for_Hellenic_Studies,Company,None
6,Harvard_University,foundedBy,Massachusetts_General_Court,None,Agent
7,Harvard_University,alumni,Massachusetts_General_Court,EducationalInstitution,Person
8,Harvard_University,subsidiary,Harvard_University_endowment,Company,Company
9,Harvard_University,industry,Harvard_University_endowment,Company,None
10,Harvard_University,subsidiary,Harvard_Graduate_School_of_Design,Company,Company
11,Harvard_University,industry,Harvard_Graduate_School_of_Design,Company,None
12,Harvard_University,subsidiary,Dumbarton_Oaks,Company,Company
13,Harvard_University,subsidiary,Arithmetic_shift,Company,Company
14,Harvard_University,city,"Cambridge,_Massachusetts",None,City
15,Harvard_University,city,Balanjar,None,City
16,Harvard_University,subsidiary,Harvard_Business_School,Company,Company
17,Harvard_University,subsidiary,Bavaria_Brewery_(Netherlands),Company,Company
18,Harvard_University,subsidiary,Harvard_Medical_School,Company,Company
19,Harvard_University,programmeFormat,Harvard_Medical_School,Broadcaster,None
20,Harvard_University,subsidiary,Fairbank_Center_for_Chinese_Studies,Company,Company
21,Harvard_University,parentCompany,Fairbank_Center_for_Chinese_Studies,None,Company
22,Harvard_University,subsidiary,Harvard_University_Press,Company,Company
23,Harvard_University,construction,Harvard_University_Press,ArchitecturalStructure,None
24,Harvard_University,subsidiary,Harvard_Law_School,Company,Company
25,Harvard_University,firstDriverTeam,Harvard_Law_School,GrandPrix,SportsTeam
26,Harvard_University,subsidiary,Harvard_Museum_of_Natural_History,Company,Company
27,Harvard_University,lounge,Harvard_Museum_of_Natural_History,Airline,None
28,Harvard_University,country,United_States,None,Country
29,Harvard_University,country,Cuscuta,None,Country
30,Harvard_University,subsidiary,Harvard_Art_Museums,Company,Company
31,Harvard_University,subsidiary,Hypha,Company,Company
32,Harvard_University,subsidiary,Harvard_Law_School,Company,Company
33,Harvard_University,subsidiary,Fayerweather_Island,Company,Company
