,subj,prop,obj,defdomain,defrange
0,Imperial_College_London,district,Silwood_Park,Place,PopulatedPlace
1,Imperial_College_London,nearestCity,Silwood_Park,Place,PopulatedPlace
2,Imperial_College_London,city,London,None,None
3,Imperial_College_London,educationSystem,London,EducationalInstitution,None
4,Imperial_College_London,country,United_Kingdom,None,None
5,Imperial_College_London,educationSystem,United_Kingdom,EducationalInstitution,None
6,Imperial_College_London,party,World_Wide_Web_Consortium,None,PoliticalParty
7,Imperial_College_London,educationSystem,World_Wide_Web_Consortium,EducationalInstitution,None
8,Imperial_College_London,foundedBy,Edward_VII,None,Agent
9,Imperial_College_London,principal,Edward_VII,EducationalInstitution,Person
10,Imperial_College_London,city,London,None,City
11,Imperial_College_London,rector,London,EducationalInstitution,Person
12,Imperial_College_London,affiliation,Association_of_MBAs,None,Organisation
13,Imperial_College_London,alumni,Association_of_MBAs,EducationalInstitution,Person
14,Imperial_College_London,affiliation,Association_of_Commonwealth_Universities,None,Organisation
15,Imperial_College_London,dean,Association_of_Commonwealth_Universities,EducationalInstitution,Person
16,Imperial_College_London,party,Oak_Ridge_Associated_Universities,None,PoliticalParty
17,Imperial_College_London,party,Red–green_alliance,None,PoliticalParty
18,Imperial_College_London,country,United_Kingdom,None,Country
19,Imperial_College_London,country,13th_century_BC,None,Country
20,Imperial_College_London,subsidiary,Imperial_College_Faculty_of_Engineering,Company,Company
21,Imperial_College_London,subsidiary,Altria,Company,Company
22,Imperial_College_London,location,Silwood_Park,None,Place
23,Imperial_College_London,location,253_Mathilde,None,Place
24,Imperial_College_London,party,European_University_Association,None,PoliticalParty
25,Imperial_College_London,grades,European_University_Association,School,None
26,Imperial_College_London,affiliation,League_of_European_Research_Universities,None,Organisation
27,Imperial_College_London,screenActorsGuildAward,League_of_European_Research_Universities,Actor,Award
28,Imperial_College_London,affiliation,European_University_Association,None,Organisation
29,Imperial_College_London,achievement,European_University_Association,Person,None
30,Imperial_College_London,subsidiary,Imperial_College_Faculty_of_Natural_Sciences,Company,Company
31,Imperial_College_London,almaMater,Imperial_College_Faculty_of_Natural_Sciences,Person,EducationalInstitution
32,Imperial_College_London,affiliation,Global_Alliance_of_Technological_Universities,None,Organisation
33,Imperial_College_London,soundRecording,Global_Alliance_of_Technological_Universities,None,Sound
34,Imperial_College_London,affiliation,Russell_Group,None,Organisation
35,Imperial_College_London,affiliation,Alec_Jeffreys,None,Organisation
36,Imperial_College_London,affiliation,Golden_triangle_(universities),None,Organisation
37,Imperial_College_London,affiliation,Emirates_Club,None,Organisation
38,Imperial_College_London,subsidiary,Imperial_College_Business_School,Company,Company
39,Imperial_College_London,subsidiary,Camillo_Golgi,Company,Company
40,Imperial_College_London,party,Russell_Group,None,PoliticalParty
41,Imperial_College_London,party,Kibology,None,PoliticalParty
