,d_subj,d_prop,d_obj,d_dom,d_range,y_subj,y_prop,y_obj,w_subj,w_prop,w_obj,w_obj_id,w_prop_id
0,Imperial_College_London,affiliation,Association_of_MBAs,None,Organisation,Imperial_College_London,affiliation,Association_of_MBAs,Q189022,affiliation,,Q392156,P1659
1,Imperial_College_London,affiliation,League_of_European_Research_Universities,None,Organisation,Imperial_College_London,affiliation,League_of_European_Research_Universities,Q189022,affiliation,,Q1152269,P1659
2,Imperial_College_London,affiliation,Russell_Group,None,Organisation,Imperial_College_London,affiliation,Russell_Group,Q189022,affiliation,Russell Group,Q590631,P1659
3,Imperial_College_London,affiliation,Association_of_Commonwealth_Universities,None,Organisation,Imperial_College_London,affiliation,Association_of_Commonwealth_Universities,Q189022,affiliation,Association of Commonwealth Universities,Q593768,P1416
4,Imperial_College_London,affiliation,Golden_triangle_(universities),None,Organisation,Imperial_College_London,affiliation,Golden_triangle_(universities),Q189022,affiliation,golden triangle,Q1073858,P1659
5,Imperial_College_London,affiliation,European_University_Association,None,Organisation,Imperial_College_London,affiliation,European_University_Association,Q189022,affiliation,European University Association,Q868940,P1659
6,Imperial_College_London,affiliation,Global_Alliance_of_Technological_Universities,None,Organisation,Imperial_College_London,affiliation,Global_Alliance_of_Technological_Universities,Q189022,affiliation,,Q30636169,P1659
7,Imperial_College_London,city,London,None,City,Imperial_College_London,containedInPlace,London,Q189022,located in the administrative territorial entity,,Q103177460,P131
8,Imperial_College_London,country,United_Kingdom,None,Country,Imperial_College_London,addressCountry,United_Kingdom,Q189022,country,,Q12130,P17
9,Imperial_College_London,city,London,None,None,Imperial_College_London,containedInPlace,London,Q189022,located in the administrative territorial entity,,Q103177460,P131
10,Imperial_College_London,country,United_Kingdom,None,None,Imperial_College_London,addressCountry,United_Kingdom,Q189022,country,,Q12130,P17
11,Imperial_College_London,foundedBy,Edward_VII,None,Agent,Imperial_College_London,founder,Edward_VII,Q189022,founded by,Edward VII,Q20875,P112
12,Imperial_College_London,location,Silwood_Park,None,Place,Imperial_College_London,location,Silwood_Park,Q189022,location,Silwood Park,Q7517190,P276
13,Imperial_College_London,party,World_Wide_Web_Consortium,None,PoliticalParty,Imperial_College_London,memberOf,World_Wide_Web_Consortium,Q189022,political party,World Wide Web Consortium,Q37033,P102
14,Imperial_College_London,party,European_University_Association,None,PoliticalParty,Imperial_College_London,memberOf,European_University_Association,Q189022,political party,European University Association,Q868940,P102
15,Imperial_College_London,party,Oak_Ridge_Associated_Universities,None,PoliticalParty,Imperial_College_London,memberOf,Oak_Ridge_Associated_Universities,Q189022,political party,Oak Ridge Associated Universities,Q5583848,P102
16,Imperial_College_London,party,Russell_Group,None,PoliticalParty,Imperial_College_London,memberOf,Russell_Group,Q189022,political party,Russell Group,Q590631,P102
17,Imperial_College_London,district,Silwood_Park,Place,PopulatedPlace,Imperial_College_London,containedInPlace,Silwood_Park,Q189022,located in the administrative territorial entity,Silwood Park,Q7517190,P131
18,Imperial_College_London,subsidiary,Imperial_College_Faculty_of_Engineering,Company,Company,Imperial_College_London,subOrganization,Imperial_College_Faculty_of_Engineering,Q189022,subsidiary,Imperial College Faculty of Engineering,Q6006474,P355
19,Imperial_College_London,subsidiary,Imperial_College_Business_School,Company,Company,Imperial_College_London,subOrganization,Imperial_College_Business_School,Q189022,subsidiary,Imperial College Business School,Q15228570,P355
20,Imperial_College_London,subsidiary,Imperial_College_Faculty_of_Natural_Sciences,Company,Company,Imperial_College_London,subOrganization,Blackett_Laboratory,Q189022,subsidiary,Imperial College Faculty of Natural Sciences,Q16937419,P355
