,subj,prop,obj,defdomain,defrange
0,University_of_California,city,"Oakland,_California",None,None
1,University_of_California,educationSystem,"Oakland,_California",EducationalInstitution,None
2,University_of_California,subsidiary,California_Digital_Library,Company,Company
3,University_of_California,service,California_Digital_Library,Company,None
4,University_of_California,subsidiary,"University_of_California,_San_Diego",Company,Company
5,University_of_California,service,"University_of_California,_San_Diego",Company,None
6,University_of_California,subsidiary,"University_of_California,_Santa_Barbara",Company,Company
7,University_of_California,industry,"University_of_California,_Santa_Barbara",Company,None
8,University_of_California,subsidiary,"University_of_California,_Los_Angeles",Company,Company
9,University_of_California,industry,"University_of_California,_Los_Angeles",Company,None
10,University_of_California,subsidiary,"University_of_California,_Irvine",Company,Company
11,University_of_California,service,"University_of_California,_Irvine",Company,None
12,University_of_California,subsidiary,"University_of_California,_Riverside",Company,Company
13,University_of_California,subsidiary,Amstrad,Company,Company
14,University_of_California,city,"Oakland,_California",None,City
15,University_of_California,city,Gaza_City,None,City
16,University_of_California,language,English_language,None,Language
17,University_of_California,language,Nyabwa_language,None,Language
18,University_of_California,location,"Oakland,_California",None,Place
19,University_of_California,location,Betelgeuse,None,Place
20,University_of_California,subsidiary,"University_of_California,_Santa_Cruz",Company,Company
21,University_of_California,formerHighschool,"University_of_California,_Santa_Cruz",NationalCollegiateAthleticAssociationAthlete,EducationalInstitution
22,University_of_California,country,United_States,None,Country
23,University_of_California,supply,United_States,Place,Place
24,University_of_California,subsidiary,"University_of_California,_Berkeley",Company,Company
25,University_of_California,language,"University_of_California,_Berkeley",None,Language
26,University_of_California,subsidiary,"University_of_California,_Davis",Company,Company
27,University_of_California,keyPerson,"University_of_California,_Davis",None,Person
28,University_of_California,subsidiary,Center_for_Information_Technology_Research_in_the_Interest_of_Society,Company,Company
29,University_of_California,subsidiary,Ambrosius_Holbein,Company,Company
30,University_of_California,foundedBy,Frederick_Low,None,Agent
31,University_of_California,foundedBy,Elias_delta_coding,None,Agent
32,University_of_California,subsidiary,"University_of_California,_Merced",Company,Company
33,University_of_California,subsidiary,Albert_Gardner__1,Company,Company
34,University_of_California,subsidiary,"University_of_California,_San_Francisco",Company,Company
35,University_of_California,subsidiary,Downtown_Radio,Company,Company
