,d_subj,d_prop,d_obj,d_dom,d_range,y_subj,y_prop,y_obj,w_subj,w_prop,w_obj,w_obj_id,w_prop_id
0,University_of_California,city,"Oakland,_California",None,City,University_of_California,containedInPlace,"Oakland,_California",Q184478,located in the administrative territorial entity,Oakland,Q17042,P131
1,University_of_California,city,"Oakland,_California",None,None,University_of_California,containedInPlace,"Oakland,_California",Q184478,located in the administrative territorial entity,Oakland,Q17042,P131
2,University_of_California,subsidiary,California_Digital_Library,Company,Company,University_of_California,subOrganization,California_Digital_Library,Q184478,subsidiary,California Digital Library,Q5020447,P355
3,University_of_California,subsidiary,"University_of_California,_Los_Angeles",Company,Company,University_of_California,subOrganization,"University_of_California,_Los_Angeles",Q184478,subsidiary,"University of California, Los Angeles",Q174710,P355
4,University_of_California,subsidiary,"University_of_California,_San_Francisco",Company,Company,University_of_California,subOrganization,"University_of_California,_San_Francisco",Q184478,subsidiary,"University of California, San Francisco",Q1061104,P355
5,University_of_California,subsidiary,"University_of_California,_Santa_Barbara",Company,Company,University_of_California,subOrganization,"University_of_California,_Santa_Barbara",Q184478,subsidiary,"University of California, Santa Barbara",Q263064,P355
6,University_of_California,subsidiary,"University_of_California,_Irvine",Company,Company,University_of_California,subOrganization,"University_of_California,_Irvine",Q184478,subsidiary,"University of California, Irvine",Q868421,P355
7,University_of_California,subsidiary,"University_of_California,_Merced",Company,Company,University_of_California,subOrganization,"University_of_California,_Merced",Q184478,subsidiary,"University of California, Merced",Q1728622,P355
8,University_of_California,subsidiary,"University_of_California,_Berkeley",Company,Company,University_of_California,subOrganization,"University_of_California,_Berkeley",Q184478,subsidiary,"University of California, Berkeley",Q168756,P355
9,University_of_California,subsidiary,"University_of_California,_Riverside",Company,Company,University_of_California,subOrganization,"University_of_California,_Riverside",Q184478,subsidiary,"University of California, Riverside",Q1075148,P355
10,University_of_California,subsidiary,"University_of_California,_San_Diego",Company,Company,University_of_California,subOrganization,"University_of_California,_San_Diego",Q184478,subsidiary,"University of California, San Diego",Q622664,P355
11,University_of_California,subsidiary,"University_of_California,_Santa_Cruz",Company,Company,University_of_California,subOrganization,"University_of_California,_Santa_Cruz",Q184478,subsidiary,"University of California, Santa Cruz",Q1047293,P355
12,University_of_California,subsidiary,Center_for_Information_Technology_Research_in_the_Interest_of_Society,Company,Company,University_of_California,subOrganization,Center_for_Information_Technology_Research_in_the_Interest_of_Society,Q184478,subsidiary,Center for Information Technology Research in the Interest of Society,Q5059688,P355
13,University_of_California,foundedBy,Frederick_Low,None,Agent,University_of_California,founder,Frederick_Low,Q184478,founded by,Frederick Low,Q879234,P112
14,University_of_California,location,"Oakland,_California",None,Place,University_of_California,location,"Oakland,_California",Q184478,location,Oakland,Q17042,P276
15,University_of_California,country,United_States,None,Country,University_of_California,addressCountry,United_States,Q184478,country,United States of America,Q30,P17
16,University_of_California,subsidiary,"University_of_California,_Davis",Company,Company,University_of_California,subOrganization,"University_of_California,_Davis",Q184478,subsidiary,"University of California, Davis",Q129421,P355
19,University_of_California,language,English_language,None,Language,University_of_California,inLanguage,English_language,Q184478,language used,English,Q1860,P2936
