,subj,prop,obj,defdomain,defrange
0,University_of_California,containedInPlace,"Oakland,_California",Place,Place
1,University_of_California,containedInPlace,"Oakland,_California",Place,Place
2,University_of_California,subOrganization,California_Digital_Library,Organization,Organization
3,University_of_California,subOrganization,"University_of_California,_Los_Angeles",Organization,Organization
4,University_of_California,subOrganization,"University_of_California,_San_Francisco",Organization,Organization
5,University_of_California,subOrganization,"University_of_California,_Santa_Barbara",Organization,Organization
6,University_of_California,subOrganization,"University_of_California,_Irvine",Organization,Organization
7,University_of_California,subOrganization,"University_of_California,_Merced",Organization,Organization
8,University_of_California,subOrganization,"University_of_California,_Berkeley",Organization,Organization
9,University_of_California,subOrganization,"University_of_California,_Riverside",Organization,Organization
10,University_of_California,subOrganization,"University_of_California,_San_Diego",Organization,Organization
11,University_of_California,subOrganization,"University_of_California,_Santa_Cruz",Organization,Organization
12,University_of_California,subOrganization,Center_for_Information_Technology_Research_in_the_Interest_of_Society,Organization,Organization
13,University_of_California,founder,Frederick_Low,Organization,Person
14,University_of_California,location,"Oakland,_California",None,Place
15,University_of_California,addressCountry,United_States,,
16,University_of_California,subOrganization,"University_of_California,_Davis",Organization,Organization
19,University_of_California,inLanguage,English_language,,
