,subj,prop,obj,defdomain,defrange
0,Wharton_School_of_the_University_of_Pennsylvania,parent,University_of_Pennsylvania,None,None
1,Wharton_School_of_the_University_of_Pennsylvania,vicePrincipalLabel,University_of_Pennsylvania,School,None
2,Wharton_School_of_the_University_of_Pennsylvania,country,United_States,None,Country
3,Wharton_School_of_the_University_of_Pennsylvania,headteacher,United_States,School,Person
4,Wharton_School_of_the_University_of_Pennsylvania,city,Philadelphia,None,City
5,Wharton_School_of_the_University_of_Pennsylvania,city,Lord_Mayor_of_London,None,City
6,Wharton_School_of_the_University_of_Pennsylvania,location,Philadelphia,None,Place
7,Wharton_School_of_the_University_of_Pennsylvania,notableIdea,Philadelphia,Person,None
8,Wharton_School_of_the_University_of_Pennsylvania,city,Philadelphia,None,None
9,Wharton_School_of_the_University_of_Pennsylvania,senator,Philadelphia,None,Person
10,Wharton_School_of_the_University_of_Pennsylvania,foundedBy,Joseph_Wharton,None,Agent
11,Wharton_School_of_the_University_of_Pennsylvania,foundedBy,13th_century_BC,None,Agent
